human_gene_symbols,dmel_gene_id,dmel_gene_symbol,cell_type_id,cell_type_name,max_spread,max_mean_expression,supporting_rows,within_gene_rank
POC1B,FBgn0036354,Poc1,FBbt:00048471,nociceptive neuron,0.083333,266.80896,4,4
POC1B,FBgn0036354,Poc1,FBbt:00048313,ITP neuron,0.047619,58.83737,1,5
XRN2,FBgn0031868,Rat1,FBbt:00048313,ITP neuron,0.238095,49.416543,1,1
XRN2,FBgn0031868,Rat1,FBbt:00003768,distal medullary amacrine neuron Dm1,0.16129,168.979696,1,2
XRN2,FBgn0031868,Rat1,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.157895,658.3278,11,3
XRN2,FBgn0031868,Rat1,FBbt:00004211,photoreceptor neuron,0.15,1102.5359,21,4
XRN2,FBgn0031868,Rat1,FBbt:00100486,lobula columnar neuron LC14,0.144444,265.04108,2,5
RECQL4,FBgn0040290,RecQ4,FBbt:00048313,ITP neuron,0.142857,38.213941,1,1
RECQL4,FBgn0040290,RecQ4,FBbt:00047095,adult neuron,0.138686,780.64014,36,2
RECQL4,FBgn0040290,RecQ4,FBbt:00004211,photoreceptor neuron,0.1,519.16005,8,3
RECQL4,FBgn0040290,RecQ4,FBbt:00048471,nociceptive neuron,0.083333,470.3669,4,4
RECQL4,FBgn0040290,RecQ4,FBbt:00004046,LNv neuron,0.057143,203.879765,1,5
RHOA,FBgn0014020,Rho1,FBbt:00004046,LNv neuron,0.914286,333.307085,1,1
RHOA,FBgn0014020,Rho1,FBbt:00057009,head cyst cell,0.829689,506.248368,4,2
RHOA,FBgn0014020,Rho1,FBbt:00058222,sugar-sensing neuron of the adult brain,0.818182,315.021483,1,3
RHOA,FBgn0014020,Rho1,FBbt:00048313,ITP neuron,0.809524,482.506075,1,4
RHOA,FBgn0014020,Rho1,FBbt:00110925,Hugin neuron,0.794118,291.514231,1,5
ARHGAP39,FBgn0038853,RhoGAP93B,FBbt:00003746,lamina intrinsic neuron Lai,0.764706,2064.266586,17,1
ARHGAP39,FBgn0038853,RhoGAP93B,FBbt:00058251,adult perineurial glial cell,0.75,1646.138295,18,2
ARHGAP39,FBgn0038853,RhoGAP93B,FBbt:00111273,distal medullary amacrine neuron Dm12,0.733333,2362.334175,15,3
ARHGAP39,FBgn0038853,RhoGAP93B,FBbt:00048142,allatostatin A neuron,0.712766,377.86219,1,4
ARHGAP39,FBgn0038853,RhoGAP93B,FBbt:00049568,leg muscle motor neuron,0.712329,925.671475,16,5
RPL8,FBgn0261602,RpL8,FBbt:00003629,DN1 neuron,1.0,1853.136994,1,1
RPL8,FBgn0261602,RpL8,FBbt:00110925,Hugin neuron,1.0,1484.180225,1,2
